A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
1  	H      	1  	0  	0.0000  	1/2+          	7.2889707           	9.0E-8    	STABLE                   	infinity                 	99.9885%  	0.007   	        	            
2  	H      	1  	1  	0.0000  	1+            	13.13572168         	1.1E-7    	STABLE                   	infinity                 	0.0115%   	0.007   	        	            
3  	H      	1  	2  	0.0000  	1/2+          	14.94980957         	2.2E-7    	12.32 Y 0.02             	3.888E8                  	          	        	B-      	100.00      
4  	H      	1  	3  	0.0000  	2-            	24.62               	0.1       	                         	                         	          	        	N       	100.00      
5  	H      	1  	4  	0.0000  	(1/2+)        	32.89               	0.09      	5.7 MEV 2.1              	7.995E-23                	          	        	2N      	100.00      
6  	H      	1  	5  	0.0000  	(2-)          	41.9                	0.3       	1.6 MEV 0.4              	2.848E-22                	          	        	N       	100.00      
7  	H      	1  	6  	        	(1/2+)        	49.1                	1.0       	500 YS                   	0                        	          	        	2N?     	            
3  	He     	2  	1  	0.0000  	1/2+          	14.93121777         	2.1E-7    	STABLE                   	infinity                 	0.000134% 	3.0E-6  	        	            
4  	He     	2  	2  	0.0000  	0+            	2.42491553          	6.0E-8    	STABLE                   	infinity                 	99.999866%	3.0E-6  	        	            
5  	He     	2  	3  	0.0000  	3/2-          	11.231              	0.02      	0.60 MEV 0.02            	7.595E-22                	          	        	A       	100.00      
5  	He     	2  	3  	0.0000  	3/2-          	11.231              	0.02      	0.60 MEV 0.02            	7.595E-22                	          	        	N       	100.00      
6  	He     	2  	4  	0.0000  	0+            	17.5921             	5.0E-5    	806.7 MS 1.5             	0.807                    	          	        	B-      	100.00      
7  	He     	2  	5  	0.0000  	(3/2)-        	26.073              	0.008     	150 KEV 20               	3.038E-21                	          	        	N       	            
8  	He     	2  	6  	0.000   	0+            	31.60968            	9.0E-5    	119.1 MS 1.2             	0.119                    	          	        	B-      	100.        
8  	He     	2  	6  	0.000   	0+            	31.60968            	9.0E-5    	119.1 MS 1.2             	0.119                    	          	        	BN      	16.         
9  	He     	2  	7  	0.0000  	1/2+          	40.94               	0.05      	                         	                         	          	        	N       	100.00      
10 	He     	2  	8  	0.0000  	0+            	49.2                	0.09      	300 KEV 200              	1.519E-21                	          	        	N       	100.00      
3  	Li     	3  	0  	        	              	28.7                	2.0       	                         	                         	          	        	P       	?           
4  	Li     	3  	1  	0.0000  	2-            	25.32               	0.21      	6.03 MEV                 	7.557E-23                	          	        	P       	100.00      
5  	Li     	3  	2  	0.0000  	3/2-          	11.68               	0.05      	1.5 MEV AP               	3.038E-22                	          	        	P       	100.00      
5  	Li     	3  	2  	0.0000  	3/2-          	11.68               	0.05      	1.5 MEV AP               	3.038E-22                	          	        	A       	100.00      
6  	Li     	3  	3  	0.0000  	1+            	14.0868789          	1.4E-6    	STABLE                   	infinity                 	7.59%     	0.04    	        	            
7  	Li     	3  	4  	0.0000  	3/2-          	14.907105           	4.0E-6    	STABLE                   	infinity                 	92.41%    	0.04    	        	            
8  	Li     	3  	5  	0.0000  	2+            	20.9458             	5.0E-5    	839.9 MS 0.9             	0.84                     	          	        	B-      	100.00      
8  	Li     	3  	5  	0.0000  	2+            	20.9458             	5.0E-5    	839.9 MS 0.9             	0.84                     	          	        	BA      	100.00      
9  	Li     	3  	6  	0.0000  	3/2-          	24.9549             	1.9E-4    	178.3 MS 0.4             	0.178                    	          	        	B-      	100.00      
9  	Li     	3  	6  	0.0000  	3/2-          	24.9549             	1.9E-4    	178.3 MS 0.4             	0.178                    	          	        	BN      	? 50.00     
10 	Li     	3  	7  	0.0000  	(1-,2-)       	33.053              	0.013     	                         	                         	          	        	N       	100.00      
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6.0E-4    	8.75 MS 0.14             	0.00875                  	          	        	B3N     	1.90        
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6.0E-4    	8.75 MS 0.14             	0.00875                  	          	        	BNA     	0.03        
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6.0E-4    	8.75 MS 0.14             	0.00875                  	          	        	B-      	100.00      
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6.0E-4    	8.75 MS 0.14             	0.00875                  	          	        	BN      	86.60       
11 	Li     	3  	8  	0.0000  	3/2-          	40.7283             	6.0E-4    	8.75 MS 0.14             	0.00875                  	          	        	B2N     	4.20        
12 	Li     	3  	9  	        	              	49.01               	0.03      	10 NS LT                 	1E-8                     	          	        	N       	?           
13 	Li     	3  	10 	        	              	56.98               	0.07      	                         	                         	          	        	        	            
5  	Be     	4  	1  	        	(1/2+)        	37.1                	2.0       	                         	                         	          	        	P       	            
6  	Be     	4  	2  	0.0000  	0+            	18.375              	0.005     	92 KEV 6                 	4.953E-21                	          	        	P       	100.00      
6  	Be     	4  	2  	0.0000  	0+            	18.375              	0.005     	92 KEV 6                 	4.953E-21                	          	        	A       	100.00      
7  	Be     	4  	3  	0.0000  	3/2-          	15.769              	7.0E-5    	53.22 D 0.06             	4598208                  	          	        	EC      	100.00      
8  	Be     	4  	4  	0.0000  	0+            	4.94167             	4.0E-5    	5.57 EV 0.25             	8.181E-17                	          	        	A       	100.00      
9  	Be     	4  	5  	0.0000  	3/2-          	11.34845            	8.0E-5    	STABLE                   	infinity                 	100.%     	        	        	            
10 	Be     	4  	6  	0.0000  	0+            	12.60749            	8.0E-5    	1.51E+6 Y 0.04E+6        	4.765E13                 	          	        	B-      	100.00      
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	2.4E-4    	13.76 S 0.07             	13.76                    	          	        	B-      	100.00      
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	2.4E-4    	13.76 S 0.07             	13.76                    	          	        	BN      	?           
11 	Be     	4  	7  	0.000   	1/2+          	20.17717            	2.4E-4    	13.76 S 0.07             	13.76                    	          	        	BA      	3.10        
12 	Be     	4  	8  	0.000   	0+            	25.0778             	0.0019    	21.47 MS 0.04            	0.0215                   	          	        	B-      	100.00      
12 	Be     	4  	8  	0.000   	0+            	25.0778             	0.0019    	21.47 MS 0.04            	0.0215                   	          	        	BN      	0.50        
13 	Be     	4  	9  	0.0000  	(1/2-)        	33.659              	0.01      	2.7E-21 S 1.8E-21        	2.7E-21                  	          	        	N       	            
14 	Be     	4  	10 	0.000   	0+            	39.95               	0.13      	4.35 MS 0.17             	0.00435                  	          	        	BN      	86.00       
